event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
aa9bc2a56a023039dcd7df50552350cb,2026-09-01T21:02:58Z,Francesco Passaro,Jesper De Jong,1.48,2.92,0.6636,0.3364,Betfair,tennis_atp_us_open,eu
6724e024ab6eca23771d7bd4db0a626d,2026-09-01T21:14:00Z,Carlos Taberner,Zizou Bergs,15,1.01,0.0631,0.9369,888sport,tennis_atp_us_open,eu
a216f3e5b5e804512b4c4280b04a1ced,2026-09-01T22:29:00Z,Alex Molcan,Benjamin Bonzi,2.84,1.42,0.3333,0.6667,Marathon Bet,tennis_atp_us_open,eu
4206ca6be5791d606f9074f5987cb423,2026-09-02T00:57:00Z,Alexander Zverev,Lorenzo Sonego,1.67,2.07,0.5535,0.4465,Betsson,tennis_atp_us_open,eu
a96687034c2f95459e9df7c231e89c88,2026-09-02T15:00:00Z,Alex Michelsen,Brandon Nakashima,2.6,1.49,0.3643,0.6357,Marathon Bet,tennis_atp_us_open,eu
18a705b41a7729da73b06dc384a48869,2026-09-02T15:00:00Z,Andrey Rublev,Daniel Merida Aguilar,1.7,2.12,0.5550,0.4450,Betclic (FR),tennis_atp_us_open,eu
64b6d0d2fc0289c705b8006982e8c5d6,2026-09-02T15:00:00Z,Arthur Rinderknech,Jaume Munar,1.57,2.41,0.6055,0.3945,GTbets,tennis_atp_us_open,eu
140f6e6e7e7bedcfe3aa61d75532e62c,2026-09-02T15:00:00Z,Daniil Medvedev,Sebastian Gorzny,1.02,13,0.9272,0.0728,Betclic (FR),tennis_atp_us_open,eu
bc41dd439054452e36d98c8bef91e38c,2026-09-02T16:10:00Z,Jacob Fearnley,Tomas Martin Etcheverry,2.28,1.76,0.4356,0.5644,Matchbook,tennis_atp_us_open,eu
e5302319ac0f9d8353d1540a1a645a6e,2026-09-02T16:30:00Z,Botic van de Zandschulp,Jan Choinski,1.24,4,0.7634,0.2366,Marathon Bet,tennis_atp_us_open,eu
