event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
d4476718f3c9e16b6f06efe37fc9d5ef,2026-01-15T00:00:00Z,Arthur Fery,Dino Prizmic,2.95,1.45,0.3295,0.6705,Pinnacle,tennis_atp_aus_open_singles,eu
5098154a03e458ad9c0d9c93bf90b40b,2026-01-15T00:00:00Z,Dane Sweeny,Stefano Travaglia,1.21,5.23,0.8121,0.1879,Pinnacle,tennis_atp_aus_open_singles,eu
12e5502800a7f8d5b53b3d09a5eea1a4,2026-01-15T00:00:00Z,George Loffhagen,Nishesh Basavareddy,2.83,1.48,0.3434,0.6566,Pinnacle,tennis_atp_aus_open_singles,eu
0ed99979c2a31a2cc35223e7cbb180b1,2026-01-15T00:00:00Z,Giulio Zeppieri,Rei Sakamoto,1.84,2.04,0.5258,0.4742,Pinnacle,tennis_atp_aus_open_singles,eu
f08399b41c65372d1a194177e8b61a44,2026-01-15T00:00:00Z,Jaime Faria,Marco Trungelliti,1.58,2.51,0.6137,0.3863,Pinnacle,tennis_atp_aus_open_singles,eu
b5fffc9879ac05390b6f1a406a02f506,2026-01-15T02:00:00Z,Chak Lam Coleman Wong,Elias Ymer,1.31,3.62,0.7343,0.2657,Pinnacle,tennis_atp_aus_open_singles,eu
c394550fea1287849ec1bb7de7a755be,2026-01-15T02:00:00Z,Dusan Lajovic,Francesco Maestrelli,1.8,2.07,0.5349,0.4651,Pinnacle,tennis_atp_aus_open_singles,eu
b50036281317a5ec98abdab9314cd426,2026-01-15T02:00:00Z,Gilles Arnaud Bailly,Martin Damm Jr.,2.49,1.57,0.3867,0.6133,Pinnacle,tennis_atp_aus_open_singles,eu
6300a56f3c661d0a6a0b5fd68e0c7479,2026-01-15T02:00:00Z,Luca Van Assche,Rafael Jodar,3.25,1.37,0.2965,0.7035,Pinnacle,tennis_atp_aus_open_singles,eu
6b62cc6c0c2247d88144ae1ec12bf314,2026-01-15T02:00:00Z,Nicolai Budkov Kjaer,Pierre-Hugues Herbert,1.47,2.8,0.6557,0.3443,Pinnacle,tennis_atp_aus_open_singles,eu
278615bc35bcb3a8afa75b5fb3357a64,2026-01-15T02:00:00Z,Tristan Boyer,Wu Yibing,3.42,1.34,0.2815,0.7185,Pinnacle,tennis_atp_aus_open_singles,eu
d6105c4d2fa44fe40af19d3aa14812ec,2026-01-15T04:00:00Z,Adolfo Daniel Vallejo,Arthur Gea,2.41,1.59,0.3975,0.6025,Pinnacle,tennis_atp_aus_open_singles,eu
f2176668a51e60bbe6acd4d171ac6bef,2026-01-15T04:00:00Z,Alexander Blockx,Jason Kubler,1.34,3.37,0.7155,0.2845,Pinnacle,tennis_atp_aus_open_singles,eu
05014e420e08cb0654d866f4ea25b94a,2026-01-15T04:00:00Z,Kimmer Coppejans,Zachary Svajda,3.33,1.35,0.2885,0.7115,Pinnacle,tennis_atp_aus_open_singles,eu
f47d2aa331f35553f1460e9f17175ee6,2026-01-15T04:00:00Z,Liam Draxl,Mackenzie McDonald,3.13,1.38,0.3060,0.6940,Pinnacle,tennis_atp_aus_open_singles,eu
ad934fee8019b2f1740e9aba34ac7913,2026-01-15T04:00:00Z,Lukas Klein,Michael Zheng,2.72,1.48,0.3524,0.6476,Pinnacle,tennis_atp_aus_open_singles,eu
fa5b13f9e0637c56679500da6fd864ad,2026-01-15T00:00:00Z,Anastasia Gasanova,Zeynep Sonmez,3.94,1.3,0.2481,0.7519,Pinnacle,tennis_wta_aus_open_singles,eu
47439aa5e455989f0a71258518874ab1,2026-01-15T00:00:00Z,Anhelina Kalinina,Maja Chwalinska,1.23,4.85,0.7977,0.2023,Pinnacle,tennis_wta_aus_open_singles,eu
3c96e0575370413a9155855f148885f6,2026-01-15T00:00:00Z,Elvina Kalieva,Guiomar Maristany,2.33,1.66,0.4160,0.5840,Pinnacle,tennis_wta_aus_open_singles,eu
7eb7485e939cc802e8c4d9e56db049b6,2026-01-15T00:00:00Z,Greet Minnen,Linda Klimovicova,1.5,2.74,0.6462,0.3538,Pinnacle,tennis_wta_aus_open_singles,eu
243f29974a4cc300078c4fe732e7cc81,2026-01-15T00:00:00Z,Lucia Bronzetti,Sloane Stephens,4.25,1.27,0.2301,0.7699,Pinnacle,tennis_wta_aus_open_singles,eu
6e121da645ea7760dbd2216548e9edff,2026-01-15T00:00:00Z,Viktoriya Tomova,Yuliia Starodubtseva,2.33,1.66,0.4160,0.5840,Pinnacle,tennis_wta_aus_open_singles,eu
0b4f22da954e541b33a22eb6ab47d8ab,2026-01-15T02:00:00Z,Carol Young Suh Lee,Linda Fruhvirtova,2.31,1.65,0.4167,0.5833,Pinnacle,tennis_wta_aus_open_singles,eu
8ee63d8db5350c95a5b9cbd2dbef972d,2026-01-15T02:00:00Z,Darja Vidmanova,Zhuoxuan Bai,1.45,2.86,0.6636,0.3364,Pinnacle,tennis_wta_aus_open_singles,eu
e5f74d9149ecd2222f8819a2b0f17ad2,2026-01-15T02:00:00Z,Lin Zhu,Marina Stakusic,2.15,1.74,0.4473,0.5527,Pinnacle,tennis_wta_aus_open_singles,eu
c5d373f3d9556479493615ae10ba5db9,2026-01-15T02:00:00Z,Nikola Bartunkova,Whitney Osuigwe,1.56,2.52,0.6176,0.3824,Pinnacle,tennis_wta_aus_open_singles,eu
7b7b30a78afcb09e0ea9f3b38aa03339,2026-01-15T02:00:00Z,Tamara Zidansek,Yue Yuan,2.88,1.45,0.3349,0.6651,Pinnacle,tennis_wta_aus_open_singles,eu
538b2f20c0f4627be8d1a0fd1200aa74,2026-01-15T04:00:00Z,Aliaksandra Sasnovich,Daria Snigur,1.59,2.41,0.6025,0.3975,Pinnacle,tennis_wta_aus_open_singles,eu
44c5b62b96f1c53e872c509c4dd04332,2026-01-15T04:00:00Z,Himeno Sakatsume,Marina Bassols Ribera,1.33,3.44,0.7212,0.2788,Pinnacle,tennis_wta_aus_open_singles,eu
c7e0ed2e46cba67f474ece6f6fc570b4,2026-01-15T04:00:00Z,Lanlana Tararudee,Lilli Tagger,1.68,2.24,0.5714,0.4286,Pinnacle,tennis_wta_aus_open_singles,eu
a0c8bf34fa5c390e72f393f3f40a0db2,2026-01-15T04:00:00Z,Maddison Inglis,Tamara Korpatsch,2.04,1.81,0.4701,0.5299,Pinnacle,tennis_wta_aus_open_singles,eu
122285528a2b94c1034de08231327244,2026-01-15T04:00:00Z,Storm Hunter,Taylor Townsend,3.14,1.38,0.3053,0.6947,Pinnacle,tennis_wta_aus_open_singles,eu
