event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
059bfb9565359ae008d9141d0c0ad7df,2026-02-15T10:30:00Z,Billy Harris,Pablo Carreno Busta,56.74,1.02,0.0177,0.9823,Pinnacle,tennis_atp_qatar_open,eu
452ef475c9b3252223c2882217925eeb,2026-02-15T10:30:00Z,Elias Ymer,Pierre-Hugues Herbert,1.97,1.88,0.4883,0.5117,Pinnacle,tennis_atp_qatar_open,eu
4a28ad9622db72b0a7c4023ec79c66e4,2026-02-15T10:30:00Z,Jan Choinski,Quentin Halys,3.39,1.36,0.2863,0.7137,Pinnacle,tennis_atp_qatar_open,eu
4b899bc17ed4eaa3a48ad8565659c7f5,2026-02-16T10:30:00Z,Alexei Popyrin,Mubarak Al-Harrasi,1.01,21,0.9541,0.0459,1xBet,tennis_atp_qatar_open,eu
66082ec2ba74530fc6b7ee4a73bd4e1a,2026-02-16T10:30:00Z,Andrey Rublev,Jesper De Jong,1.16,5.3,0.8204,0.1796,1xBet,tennis_atp_qatar_open,eu
f8e2dd279a6b827600bf4a4cc259e09b,2026-02-16T10:30:00Z,Arthur Fils,Kamil Majchrzak,1.5,2.6,0.6341,0.3659,1xBet,tennis_atp_qatar_open,eu
06c9d723fa797c2416e9b6cd1c1adf53,2026-02-16T10:30:00Z,Arthur Rinderknech,Carlos Alcaraz,13.7,1.02,0.0693,0.9307,1xBet,tennis_atp_qatar_open,eu
0264228354305e9ed8d21ff55d3f649d,2026-02-16T10:30:00Z,Daniil Medvedev,Juncheng Shang,1.26,3.87,0.7544,0.2456,1xBet,tennis_atp_qatar_open,eu
d54420e68a0335243be17db47557434c,2026-02-16T10:30:00Z,Fabian Marozsan,Ugo Humbert,2.44,1.56,0.3900,0.6100,1xBet,tennis_atp_qatar_open,eu
322fea771e07751517f12b2847893733,2026-02-16T10:30:00Z,Giovanni Mpetshi Perricard,Zizou Bergs,2.09,1.74,0.4543,0.5457,1xBet,tennis_atp_qatar_open,eu
bc4cde64edbc89b6e8c7fd4218cb145e,2026-02-16T10:30:00Z,Hady Habib,Marton Fucsovics,5.25,1.16,0.1810,0.8190,1xBet,tennis_atp_qatar_open,eu
a24f71bb287357c398142552eef71c40,2026-02-16T10:30:00Z,Jannik Sinner,Tomas Machac,1.05,9.8,0.9032,0.0968,1xBet,tennis_atp_qatar_open,eu
c69d094ec22949b35bf70a98fe06fb1d,2026-02-16T10:30:00Z,Jaume Munar,Karen Khachanov,2.03,1.78,0.4672,0.5328,1xBet,tennis_atp_qatar_open,eu
9e08e8243e1dcddf85845c47ea46ca56,2026-02-16T10:30:00Z,Jenson Brooksby,Jiri Lehecka,2.46,1.55,0.3865,0.6135,1xBet,tennis_atp_qatar_open,eu
66470a476e6f8341a8652299e8cca9ca,2026-02-16T10:30:00Z,Moez Echargui,Stefanos Tsitsipas,7.6,1.08,0.1244,0.8756,1xBet,tennis_atp_qatar_open,eu
759feabd91596923bbdd2813dee50cc9,2026-02-15T11:18:00Z,Leylah Fernandez,Liudmila Samsonova,1.75,2.05,0.5395,0.4605,Betsson,tennis_wta_dubai,eu
b04b1cb2eba641d9ebacaa93fa1e4593,2026-02-15T11:56:00Z,Cristina Bucsa,Ella Seidel,3.55,1.3,0.2680,0.7320,Betsson,tennis_wta_dubai,eu
73f5324c1a67d5fa1f4389ce5121b607,2026-02-15T12:27:55Z,Diana Shnaider,Maya Joint,1.41,2.94,0.6759,0.3241,GTbets,tennis_wta_dubai,eu
