event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
b180b0500ee5847e0612dba80f23f8eb,2026-09-06T15:00:00Z,Alex Michelsen,Tomas Martin Etcheverry,1.37,3.38,0.7116,0.2884,Pinnacle,tennis_atp_us_open,eu
375c143a5d5ad4155ac566ee0fe3acf4,2026-09-06T18:00:00Z,Carlos Alcaraz,Tommy Paul,1.22,4.2,0.7749,0.2251,888sport,tennis_atp_us_open,eu
419c98e83aff032b1ef5c65b5a84cabf,2026-09-06T19:00:00Z,Daniil Medvedev,Frances Tiafoe,1.64,2.29,0.5827,0.4173,GTbets,tennis_atp_us_open,eu
cd7707c7355231c6b8dc1818643983c5,2026-09-06T23:00:00Z,Ben Shelton,Stefanos Tsitsipas,1.36,3.04,0.6909,0.3091,Nordic Bet,tennis_atp_us_open,eu
772774e181b7af9eada58d283cd8f586,2026-09-07T15:00:00Z,Alexander Blockx,Francisco Cerundolo,1.59,2.33,0.5944,0.4056,Betclic (FR),tennis_atp_us_open,eu
fe33d204a97e95299fdef4384acb8bbd,2026-09-07T15:00:00Z,Alexander Zverev,Luciano Darderi,1.07,7.49,0.8750,0.1250,Nordic Bet,tennis_atp_us_open,eu
d41f84d62d9505420ef2be15531277cd,2026-09-07T15:00:00Z,Arthur Gea,Botic van de Zandschulp,2.38,1.65,0.4094,0.5906,Pinnacle,tennis_atp_us_open,eu
2bf762a4e4d1966d36e7ab7492078c62,2026-09-07T15:00:00Z,Karen Khachanov,Learner Tien,2.5,1.56,0.3842,0.6158,Winamax (DE),tennis_atp_us_open,eu
516b2522c0938a61120dc4e95c7082f5,2026-09-06T15:30:00Z,Aryna Sabalenka,Taylor Townsend,1.21,5.7,0.8249,0.1751,Betfair,tennis_wta_us_open,eu
1927673f7016985008a0501efdfd2944,2026-09-06T16:30:00Z,Linda Noskova,Marta Kostyuk,2.36,1.72,0.4216,0.5784,Betfair,tennis_wta_us_open,eu
be8904fa3b0fca66c4c056d1a2955ed9,2026-09-06T20:40:00Z,Jessica Pegula,Sorana Cirstea,1.32,3.24,0.7105,0.2895,Betsson,tennis_wta_us_open,eu
b4fab41af0c83dc99c4e9d1fc815ddce,2026-09-07T00:40:00Z,Anna Kalinskaya,Emma Navarro,1.88,1.97,0.5117,0.4883,Betclic (FR),tennis_wta_us_open,eu
f94f1733216911d2d0bd2e59dcb29d16,2026-09-07T15:00:00Z,Anastasia Potapova,Mirra Andreeva,5.65,1.13,0.1667,0.8333,Nordic Bet,tennis_wta_us_open,eu
73b9ab2c44528b66f3e566c5dabd5b07,2026-09-07T15:00:00Z,Coco Gauff,Iva Jović,1.36,3.06,0.6923,0.3077,Betsson,tennis_wta_us_open,eu
0339cc6e1869be40465b2f2a4801698a,2026-09-07T15:00:00Z,Elena Rybakina,Naomi Osaka,1.77,2.16,0.5496,0.4504,Pinnacle,tennis_wta_us_open,eu
771e4c10cddd12c64685361adc7fa084,2026-09-07T15:00:00Z,Iga Swiatek,Qinwen Zheng,1.24,4.8,0.7947,0.2053,Matchbook,tennis_wta_us_open,eu
