event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
e1c816c6cc0d8ae274b94a4e7aaa1a7c,2026-08-14T15:00:00Z,Adolfo Daniel Vallejo,Kyrian Jacquet,2.8,1.44,0.3396,0.6604,Nordic Bet,tennis_atp_cincinnati_open,eu
63de568a68ea702e8747d93823acc76b,2026-08-14T15:00:00Z,Chak Lam Coleman Wong,Daniel Altmaier,1.56,2.43,0.6090,0.3910,Unibet (NL),tennis_atp_cincinnati_open,eu
5bb3e0af3a441163651f8fe9a8ed24b1,2026-08-14T15:00:00Z,Hubert Hurkacz,Sho Shimabukuro,1.28,3.7,0.7430,0.2570,Nordic Bet,tennis_atp_cincinnati_open,eu
0394b204ab59b0d58190b4d1b7091f12,2026-08-14T15:00:00Z,Quentin Halys,Vit Kopriva,1.4,3.23,0.6976,0.3024,1xBet,tennis_atp_cincinnati_open,eu
e89be7bc445c6a2ae314fbebcc24bbbe,2026-08-14T15:00:00Z,Stefanos Tsitsipas,Valentin Royer,1.28,3.7,0.7430,0.2570,LeoVegas (SE),tennis_atp_cincinnati_open,eu
2cef130db2870bc53dbac4bb36238fd6,2026-08-14T16:10:00Z,Grigor Dimitrov,Sebastian Baez,1.68,2.18,0.5648,0.4352,LeoVegas (SE),tennis_atp_cincinnati_open,eu
46b64b5633750386a344956a8f633e93,2026-08-14T16:10:00Z,James Duckworth,JJ Wolf,2.38,1.57,0.3975,0.6025,888sport,tennis_atp_cincinnati_open,eu
004bb16f84524dd6732e063a9ccb9b75,2026-08-14T16:10:00Z,Luca Van Assche,Yannick Hanfmann,2.1,1.73,0.4517,0.5483,888sport,tennis_atp_cincinnati_open,eu
b2b3d4815ce07b69091af0a2dd774ebb,2026-08-14T16:10:00Z,Matteo Berrettini,Titouan Droguet,1.73,2.1,0.5483,0.4517,Marathon Bet,tennis_atp_cincinnati_open,eu
5782d36eac063401284681c5afe6cabb,2026-08-14T16:30:00Z,Pablo Carreno Busta,Tomas Machac,1.88,2.01,0.5167,0.4833,Pinnacle,tennis_atp_cincinnati_open,eu
8ba1992997fbe3aa6cbf7d943b69e8a4,2026-08-14T17:20:00Z,Christopher O'Connell,Kamil Majchrzak,2.5,1.53,0.3797,0.6203,888sport,tennis_atp_cincinnati_open,eu
d47cfe884feef26b212042f1b0509091,2026-08-14T17:20:00Z,Juan Manuel Cerundolo,Mark Lajal,2.02,1.87,0.4807,0.5193,Coolbet,tennis_atp_cincinnati_open,eu
