event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
599291983e6dc9666b563e9e16aeb0e2,2026-04-25T09:00:00Z,Adam Walton,Karen Khachanov,4.42,1.24,0.2191,0.7809,1xBet,tennis_atp_madrid_open,eu
5fed3b3e2f0d002009241768fc0c29f7,2026-04-25T09:00:00Z,Alejandro Davidovich Fokina,Pablo Carreno Busta,1.5,2.73,0.6454,0.3546,1xBet,tennis_atp_madrid_open,eu
182bc4336f49587957446a765c33ac2b,2026-04-25T09:00:00Z,Francisco Cerundolo,Yannick Hanfmann,1.38,3.25,0.7019,0.2981,1xBet,tennis_atp_madrid_open,eu
4d00030b50eddb76d27e363557280bc6,2026-04-25T10:30:00Z,Casper Ruud,Jaume Munar,1.45,2.92,0.6682,0.3318,1xBet,tennis_atp_madrid_open,eu
9105f5ca96e3e79746bd9ecb46b33939,2026-04-25T10:30:00Z,Jakub Mensik,Martin Damm Jr.,1.33,3.58,0.7291,0.2709,1xBet,tennis_atp_madrid_open,eu
d3cfc2c08b2e78a5f06324adab454af7,2026-04-25T10:30:00Z,Juan Manuel Cerundolo,Luciano Darderi,2.54,1.57,0.3820,0.6180,1xBet,tennis_atp_madrid_open,eu
22ab7e06a6482e6de3724ac8bc354df2,2026-04-25T12:00:00Z,Alexander Blockx,Brandon Nakashima,1.77,2.15,0.5485,0.4515,1xBet,tennis_atp_madrid_open,eu
34f347297729492d382764c22582708e,2026-04-25T12:00:00Z,Felix Auger-Aliassime,Vilius Gaubas,1.3,3.85,0.7476,0.2524,1xBet,tennis_atp_madrid_open,eu
321062d5453eabc574404b03be6c0ce9,2026-04-25T12:00:00Z,Terence Atmane,Ugo Humbert,1.87,2.01,0.5180,0.4820,1xBet,tennis_atp_madrid_open,eu
6ef511c2146111353b9b059952079e55,2026-04-25T13:30:00Z,Camilo Ugo Carabelli,Flavio Cobolli,2.92,1.45,0.3318,0.6682,1xBet,tennis_atp_madrid_open,eu
833fbcb76a391e971e84174294eb0956,2026-04-25T13:40:00Z,Corentin Moutet,Daniel Merida Aguilar,1.51,2.7,0.6413,0.3587,1xBet,tennis_atp_madrid_open,eu
73df6bbdec9d5310ae64a772ba0d05a4,2026-04-25T14:00:00Z,Alexander Zverev,Mariano Navone,1.26,4.17,0.7680,0.2320,1xBet,tennis_atp_madrid_open,eu
58925930660363678d22de2b6b8ee4a9,2026-04-25T15:00:00Z,Adolfo Daniel Vallejo,Learner Tien,1.68,2.3,0.5779,0.4221,1xBet,tennis_atp_madrid_open,eu
77e78f5396854c7d438588e03f9eaa23,2026-04-25T17:00:00Z,Daniil Medvedev,Fabian Marozsan,1.57,2.55,0.6189,0.3811,1xBet,tennis_atp_madrid_open,eu
deb773a135ecdf35bbf12877203e5495,2026-04-25T17:00:00Z,Denis Shapovalov,Nicolai Budkov Kjaer,1.59,2.48,0.6093,0.3907,1xBet,tennis_atp_madrid_open,eu
3d9d06152928e4cdf7f494409694de2d,2026-04-25T19:30:00Z,Alexander Bublik,Stefanos Tsitsipas,1.65,2.36,0.5885,0.4115,1xBet,tennis_atp_madrid_open,eu
