event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
5d8c6bf7404f43ac0c40d03de0eb0d11,2026-03-02T00:00:00Z,Aliaksandra Sasnovich,Kayla Day,2.65,1.52,0.3645,0.6355,Pinnacle,tennis_wta_indian_wells,eu
965b0b26cacdc006a417c9fe415e5686,2026-03-02T00:00:00Z,Darja Semenistaja,Whitney Osuigwe,1.69,2.24,0.5700,0.4300,Pinnacle,tennis_wta_indian_wells,eu
097e8fcbd1b9f3d6f4feab7b2906db4a,2026-03-02T00:00:00Z,Julieta Pareja,Lanlana Tararudee,22.74,1.04,0.0437,0.9563,Pinnacle,tennis_wta_indian_wells,eu
ae6f8bc122038db6613aaaf9bc2adaf8,2026-03-02T00:00:00Z,Leolia Jeanjean,Mary Stoiana,1.11,8.54,0.8850,0.1150,Pinnacle,tennis_wta_indian_wells,eu
0d3858d2c146ff1387761ca10f38affa,2026-03-02T15:00:00Z,Dalma Galfi,Yue Yuan,2.19,1.71,0.4385,0.5615,Pinnacle,tennis_wta_indian_wells,eu
2035e93cfda7b0ee4c64206aac511fdf,2026-03-02T15:00:00Z,Joanna Garland,Taylor Townsend,2.51,1.55,0.3818,0.6182,Pinnacle,tennis_wta_indian_wells,eu
5d9ef3fd03500d07f282d600f11bc244,2026-03-02T15:00:00Z,Katie Boulter,Viktoriya Tomova,1.23,4.3,0.7776,0.2224,Pinnacle,tennis_wta_indian_wells,eu
ecf1fc7fae9dd91159c7fa556eae1559,2026-03-02T15:00:00Z,Lucrezia Stefanini,Victoria Jimenez Kasintseva,2.53,1.54,0.3784,0.6216,Pinnacle,tennis_wta_indian_wells,eu
fa3a9f7551ab37c40f211d93d87bdb64,2026-03-02T15:00:00Z,Mananchaya Sawangkaew,Rebeka Masarova,2.34,1.62,0.4091,0.5909,Pinnacle,tennis_wta_indian_wells,eu
77e6d53ab00314dc083bae1fddb2d4c0,2026-03-02T15:00:00Z,Priscilla Hon,Renata Zarazua,2.26,1.67,0.4249,0.5751,Pinnacle,tennis_wta_indian_wells,eu
a83e2b6ed7cb9b905582819afc7ede26,2026-03-02T15:00:00Z,Sinja Kraus,Storm Hunter,2.16,1.72,0.4433,0.5567,Pinnacle,tennis_wta_indian_wells,eu
