event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
d735e9ce6b96a917e05902e225210b92,2026-08-21T00:41:17Z,Arthur Fils,Thiago Agustin Tirante,1.08,6.75,0.8621,0.1379,Winamax (DE),tennis_atp_cincinnati_open,eu
37c7b865cc8d98a31b31d331e2376c96,2026-08-21T19:00:00Z,Brandon Nakashima,Taylor Fritz,2.55,1.52,0.3735,0.6265,Betsson,tennis_atp_cincinnati_open,eu
6a59e4127323e705e0f7d9068774d6e7,2026-08-21T23:00:00Z,Frances Tiafoe,Lorenzo Musetti,1.99,1.82,0.4777,0.5223,Betsson,tennis_atp_cincinnati_open,eu
fcf3df4e10d7f7a2d3aa1eaf8787f10e,2026-08-21T17:00:00Z,Madison Keys,Sara Bejlek,1.4,2.75,0.6627,0.3373,Unibet (FR),tennis_wta_cincinnati_open,eu
cd3a7bf8bc485d82e14b0a129efb6355,2026-08-22T00:30:00Z,Coco Gauff,Marta Kostyuk,1.72,2.15,0.5556,0.4444,Unibet (FR),tennis_wta_cincinnati_open,eu
