event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
c65df584ad7862e7b88cc738c1844268,2026-09-24T05:00:00Z,Talia Gibson,Viktória Morvayová,1.09,9.2,0.8941,0.1059,Betfair,tennis_wta_singapore_open,eu
1c144e78b89011322a38085acf85a1e9,2026-09-24T06:30:00Z,Joanna Garland,Xinyu Wang,3.45,1.29,0.2722,0.7278,Winamax (FR),tennis_wta_singapore_open,eu
b3211154731c06416842ea2d56d255e2,2026-09-24T10:30:00Z,Alexandra Eala,Tatiana Prozorova,1.22,4,0.7663,0.2337,Winamax (FR),tennis_wta_singapore_open,eu
e6170a66ea1bedf7465820889622b9ae,2026-09-24T12:00:00Z,Maria Sakkari,Nao Hibino,1.19,5.7,0.8273,0.1727,Betfair,tennis_wta_singapore_open,eu
019e16123376050b7a03b6e497b7bbcd,2026-09-25T03:00:00Z,Leylah Fernandez,Mirra Andreeva,4.1,1.29,0.2393,0.7607,Betfair,tennis_wta_singapore_open,eu
f0731c18d689ed876e51dc1a9bf12170,2026-09-25T04:00:00Z,Elise Mertens,Maja Chwalinska,1.53,2.42,0.6127,0.3873,Betfair,tennis_wta_singapore_open,eu
