event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
799fdc922b57e2757836cbf66222c92a,2026-05-06T09:00:00Z,Adrian Mannarino,Damir Dzumhur,3.65,1.35,0.2700,0.7300,Matchbook,tennis_atp_italian_open,eu
74f0c6fa6f990529b80a3a75be3a85d4,2026-05-06T09:00:00Z,Daniel Altmaier,Zhizhen Zhang,1.6,2.33,0.5929,0.4071,Unibet (NL),tennis_atp_italian_open,eu
28c9b0fa1ecc45a9c667d8bff4499713,2026-05-06T09:00:00Z,Fabian Marozsan,Vit Kopriva,1.62,2.3,0.5867,0.4133,Unibet (NL),tennis_atp_italian_open,eu
f130b1994934193a0b4e2d32c2a3c4e3,2026-05-06T09:00:00Z,Jenson Brooksby,Sebastian Baez,3.8,1.35,0.2621,0.7379,Matchbook,tennis_atp_italian_open,eu
d75159900a126bfe479e2cfa287a1526,2026-05-06T10:10:00Z,Alexander Shevchenko,Camilo Ugo Carabelli,2.7,1.47,0.3525,0.6475,Unibet (NL),tennis_atp_italian_open,eu
e786e10fd63b4c208130e98ffb4b9091,2026-05-06T10:10:00Z,Alexandre Muller,Botic van de Zandschulp,2.28,1.74,0.4328,0.5672,Matchbook,tennis_atp_italian_open,eu
351fc7c640de9d5e622b14631d7353f9,2026-05-06T10:10:00Z,Marco Trungelliti,Zachary Svajda,1.44,3.15,0.6863,0.3137,Matchbook,tennis_atp_italian_open,eu
66f368ef3decf2be7abf8b31081bd198,2026-05-06T11:00:00Z,Hubert Hurkacz,Yannick Hanfmann,1.42,2.85,0.6674,0.3326,Unibet (NL),tennis_atp_italian_open,eu
4db9c8bd15e2e7ff6f12034851e8166c,2026-05-06T11:20:00Z,Francisco Comesana,Jan-Lennard Struff,1.51,2.6,0.6326,0.3674,Nordic Bet,tennis_atp_italian_open,eu
c093a77ef81c56ce2216065108a200aa,2026-05-06T12:10:00Z,Jaume Munar,Matteo Arnaldi,2.42,1.69,0.4112,0.5888,Matchbook,tennis_atp_italian_open,eu
316fcac1aa607664f5500ea83f566851,2026-05-06T12:30:00Z,Aleksandar Vukic,Patrick Kypson,3.55,1.3,0.2680,0.7320,Nordic Bet,tennis_atp_italian_open,eu
e85820f6f584b21f140cd5cf4951087f,2026-05-06T12:30:00Z,Jesper De Jong,Nuno Borges,2.04,1.79,0.4674,0.5326,Nordic Bet,tennis_atp_italian_open,eu
38f602f46c174ec81d3d281fda2584cc,2026-05-06T13:10:00Z,Alejandro Tabilo,Pablo Carreno Busta,1.43,2.7,0.6538,0.3462,Unibet (FR),tennis_atp_italian_open,eu
643c22618b3f56ddc34213fcdfb4f81c,2026-05-06T13:40:00Z,Dino Prizmic,Marton Fucsovics,1.3,3.3,0.7174,0.2826,Unibet (FR),tennis_atp_italian_open,eu
00d3fb15b3f36ef7d9fcbc0bc4f87be9,2026-05-06T13:40:00Z,Giovanni Mpetshi Perricard,Jacob Fearnley,2.45,1.52,0.3829,0.6171,Unibet (FR),tennis_atp_italian_open,eu
628ffe70c81a93469658974fc989f068,2026-05-06T18:30:00Z,Alexander Blockx,Federico Coria,1.26,3.9,0.7558,0.2442,Unibet (NL),tennis_atp_italian_open,eu
2f7bf9212b5f157c76032d827eb7e3da,2026-05-07T08:00:00Z,Andrea Pellegrino,Luca Nardi,1.78,2.05,0.5352,0.4648,Betsson,tennis_atp_italian_open,eu
66e00237fc7e316bbb83889ae9f27707,2026-05-07T08:00:00Z,Cristian Garin,Juan Manuel Cerundolo,1.82,2,0.5236,0.4764,Betsson,tennis_atp_italian_open,eu
393ca4e895eb31c5f62aba648df7f777,2026-05-07T08:00:00Z,Dalibor Svrcina,Miomir Kecmanovic,1.94,1.71,0.4685,0.5315,Betfair,tennis_atp_italian_open,eu
35ed2dee08d3758dd7c0acfda0f313ac,2026-05-07T08:00:00Z,Daniel Merida Aguilar,Nikoloz Basilashvili,1.43,2.83,0.6643,0.3357,1xBet,tennis_atp_italian_open,eu
c49e0d5be599ceeff91620b99211ccda,2026-05-07T08:00:00Z,Ethan Quinn,Pablo Llamas Ruiz,1.9,1.98,0.5103,0.4897,Coolbet,tennis_atp_italian_open,eu
cd56a2bdc531e128488ce862fb68fcb6,2026-05-07T09:00:00Z,Alex Michelsen,Sebastian Ofner,2.38,1.57,0.3975,0.6025,Unibet (NL),tennis_atp_italian_open,eu
0e4f9b0e11915b5a6ef67482e621686f,2026-05-07T09:00:00Z,Alexei Popyrin,Matteo Berrettini,2.84,1.53,0.3501,0.6499,Matchbook,tennis_atp_italian_open,eu
0f930c5e863314b6653132ab5544e9e0,2026-05-07T09:00:00Z,Denis Shapovalov,Mariano Navone,2.6,1.5,0.3659,0.6341,Unibet (NL),tennis_atp_italian_open,eu
22c0cc65da4fafa545eb7af4901aa752,2026-05-07T09:00:00Z,Francesco Maestrelli,Roberto Bautista Agut,2.6,1.49,0.3643,0.6357,Unibet (NL),tennis_atp_italian_open,eu
ae62ede6c09c2b19d068b165925afb6f,2026-05-07T09:00:00Z,Gianluca Cadenasso,Thiago Agustin Tirante,2.57,1.51,0.3701,0.6299,1xBet,tennis_atp_italian_open,eu
d0e5758b794ec4188c147a6f61260fdf,2026-05-07T09:00:00Z,Hamad Medjedovic,Valentin Royer,1.36,3.1,0.6951,0.3049,Unibet (NL),tennis_atp_italian_open,eu
33f343f41f51739044e91c7751643598,2026-05-07T09:00:00Z,Ignacio Buse,Lorenzo Sonego,1.6,2.35,0.5949,0.4051,Unibet (NL),tennis_atp_italian_open,eu
1ce005e96d455ee53dabcfe24e1fe00c,2026-05-07T09:00:00Z,Marcos Giron,Marin Cilic,2.35,1.6,0.4051,0.5949,Unibet (NL),tennis_atp_italian_open,eu
7d3dc5898f194661471a2ef85de1086d,2026-05-07T09:00:00Z,Mattia Bellucci,Roman Andres Burruchaga,2.88,1.42,0.3302,0.6698,Unibet (NL),tennis_atp_italian_open,eu
d51e2169bd5f7531e29618e56aad5347,2026-05-07T09:00:00Z,Stefanos Tsitsipas,Tomas Machac,1.7,2.15,0.5584,0.4416,Unibet (NL),tennis_atp_italian_open,eu
3706adbb6972dd59cf9daab18ce4d114,2026-05-07T09:00:00Z,Terence Atmane,Zizou Bergs,2.2,1.67,0.4315,0.5685,Unibet (NL),tennis_atp_italian_open,eu
d5eba24edc1e1dd6f7830f1a72851f27,2026-05-06T09:00:00Z,Alexandra Eala,Magdalena Frech,1.82,2.09,0.5345,0.4655,Pinnacle,tennis_wta_italian_open,eu
d7c5dded6ce3ef856025bd5bac06e8cc,2026-05-06T09:00:00Z,Alina Korneeva,Panna Udvardy,2.5,1.59,0.3888,0.6112,Coolbet,tennis_wta_italian_open,eu
fb9199ef68a4578c7970852990913a84,2026-05-06T09:00:00Z,Jelena Ostapenko,Lucrezia Stefanini,1.09,9.41,0.8962,0.1038,Pinnacle,tennis_wta_italian_open,eu
7d0754fd3bf5b7643ccb55beb98c9c76,2026-05-06T09:00:00Z,Magda Linette,Tatjana Maria,1.32,3.69,0.7365,0.2635,Pinnacle,tennis_wta_italian_open,eu
5a0aa6bd7d0efe8adec4971a683f2f90,2026-05-06T10:10:00Z,Beatriz Haddad Maia,Leolia Jeanjean,2.1,1.73,0.4517,0.5483,888sport,tennis_wta_italian_open,eu
da7ebc3a647885d1194e72f12748fe2c,2026-05-06T10:30:00Z,Federica Urgesi,Viktorija Golubic,2.9,1.4,0.3256,0.6744,888sport,tennis_wta_italian_open,eu
ca31b1c36e31ce86ff8c59ba15b657d5,2026-05-06T10:30:00Z,Katerina Siniakova,Lois Boisson,1.32,3.71,0.7376,0.2624,Pinnacle,tennis_wta_italian_open,eu
ea380e3303b1755c33672692a782f7cb,2026-05-06T10:30:00Z,Lisa Pigato,Tyra Caterina Grant,1.96,1.93,0.4961,0.5039,Pinnacle,tennis_wta_italian_open,eu
21c43b9c17c2317078cee6d119a02805,2026-05-06T11:20:00Z,Nuria Brancaccio,Taylor Townsend,3.85,1.26,0.2466,0.7534,LeoVegas (SE),tennis_wta_italian_open,eu
cb43ecab0940744e964f76e4ef49bc32,2026-05-06T11:20:00Z,Solana Sierra,Tamara Korpatsch,1.73,2.1,0.5483,0.4517,LeoVegas (SE),tennis_wta_italian_open,eu
1a3fb9482d13a275e9ea12638fbab39f,2026-05-06T12:00:00Z,Janice Tjen,Peyton Stearns,2.94,1.45,0.3303,0.6697,Pinnacle,tennis_wta_italian_open,eu
5b0957a665cca873ded298a79f9dd42a,2026-05-06T12:00:00Z,Laura Siegemund,Sara Bejlek,2.6,1.55,0.3735,0.6265,Pinnacle,tennis_wta_italian_open,eu
a276f519d88dde1ed58a88032ec542ce,2026-05-06T12:00:00Z,Lilli Tagger,Maria Sakkari,2.34,1.73,0.4251,0.5749,Betfair,tennis_wta_italian_open,eu
1697cc778f7cad310857308a65b51aff,2026-05-06T12:00:00Z,Tereza Valentova,Yulia Putintseva,1.7,2.27,0.5718,0.4282,Pinnacle,tennis_wta_italian_open,eu
1b8287550068c725b634ece1b96c7867,2026-05-06T12:30:00Z,Anastasia Potapova,Dalma Galfi,1.39,3.5,0.7157,0.2843,Betfair,tennis_wta_italian_open,eu
264168e5bcdd737aa4b44834674992a0,2026-05-06T12:30:00Z,Simona Waltert,Yuliia Starodubtseva,2.35,1.57,0.4005,0.5995,LeoVegas (SE),tennis_wta_italian_open,eu
403b134630bd165ec8bfe9286e6d75ee,2026-05-06T13:30:00Z,Eva Lys,Katie Boulter,2.37,1.61,0.4045,0.5955,GTbets,tennis_wta_italian_open,eu
