event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
42dcbf6b2e49b28d1b87c6733b8a7412,2026-04-02T15:00:00Z,Belinda Bencic,Sara Bejlek,1.51,2.57,0.6299,0.3701,1xBet,tennis_wta_charleston_open,eu
a470cbbd98d574ac4de6c8eacbc9b1c6,2026-04-02T15:00:00Z,McCartney Kessler,Peyton Stearns,2.23,1.66,0.4267,0.5733,1xBet,tennis_wta_charleston_open,eu
7e18e7648a207ee36c43e42d1cd558c1,2026-04-02T16:30:00Z,Diana Shnaider,Leylah Fernandez,1.47,2.69,0.6466,0.3534,1xBet,tennis_wta_charleston_open,eu
389cf9c8bff58cacff82db0173e18501,2026-04-02T16:30:00Z,Elisabetta Cocciaretto,Jessica Pegula,5,1.24,0.1987,0.8013,Betfair,tennis_wta_charleston_open,eu
cae84d8af4815b8b04fd8604f08877c9,2026-04-02T18:00:00Z,Anna Bondár,Madison Keys,4.32,1.22,0.2202,0.7798,1xBet,tennis_wta_charleston_open,eu
ddd58f80b5357eec89c399d43962fd03,2026-04-02T18:00:00Z,Renata Zarazua,Yuliia Starodubtseva,2.09,1.72,0.4514,0.5486,Nordic Bet,tennis_wta_charleston_open,eu
b848d0ce0d9002af4083119fa9b18b31,2026-04-02T22:00:00Z,Iva Jović,Sofia Kenin,1.32,3.35,0.7173,0.2827,Nordic Bet,tennis_wta_charleston_open,eu
dd75004d7bbdbdb0457bcc3c022f75a9,2026-04-02T23:30:00Z,Anna Kalinskaya,Paula Badosa,2.32,1.61,0.4097,0.5903,1xBet,tennis_wta_charleston_open,eu
