event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
c78175e66e7dbf1e18bd5fb38e33c00f,2026-03-14T20:30:00Z,Alexander Zverev,Jannik Sinner,5.09,1.2,0.1908,0.8092,1xBet,tennis_atp_indian_wells,eu
4623abc6651a25ebe9b9762865ad4d9a,2026-03-14T22:00:00Z,Carlos Alcaraz,Daniil Medvedev,1.21,4.87,0.8010,0.1990,1xBet,tennis_atp_indian_wells,eu
0af4122a4288a5b7043936f2982a6d50,2026-03-15T18:00:00Z,Aryna Sabalenka,Elena Rybakina,1.69,2.25,0.5711,0.4289,1xBet,tennis_wta_indian_wells,eu
