event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
337f3257c6c42060c1bcff0324510611,2026-08-24T21:00:00Z,Ann Li,Maria Camila Osorio Serrano,1.99,1.89,0.4871,0.5129,Pinnacle,tennis_wta_monterrey_open,eu
6d7441d7f1a19377e9b47a5e13307fbc,2026-08-24T22:30:00Z,Alycia Parks,Petra Marcinko,2.06,1.92,0.4824,0.5176,Betfair,tennis_wta_monterrey_open,eu
5ed22274a583e68a7ce7a49ea66e7462,2026-08-24T22:30:00Z,Dayana Yastremska,Janice Tjen,2.74,1.55,0.3613,0.6387,Betfair,tennis_wta_monterrey_open,eu
c77ccf050ec2c2259c05223ea870752c,2026-08-25T01:30:00Z,Clara Tauson,Renata Zarazua,1.33,3.9,0.7457,0.2543,Betfair,tennis_wta_monterrey_open,eu
9d395798d7ea1b3851409becfa064516,2026-08-25T03:00:00Z,Diane Parry,Donna Vekic,2.42,1.68,0.4098,0.5902,Betfair,tennis_wta_monterrey_open,eu
52bad3e80312427504bacda4405e58fa,2026-08-25T19:00:00Z,Anhelina Kalinina,Maya Joint,2.05,1.76,0.4619,0.5381,Marathon Bet,tennis_wta_monterrey_open,eu
8532200fce88e2baf9c6bdea478dd6d8,2026-08-25T19:00:00Z,Anna Bondár,Cristina Bucsa,1.62,1.85,0.5331,0.4669,Betfair,tennis_wta_monterrey_open,eu
d76d575e822e7f2e9d1fe676482b53d0,2026-08-25T19:00:00Z,Darja Vidmanova,Kimberly Birrell,1.63,2.26,0.5810,0.4190,Marathon Bet,tennis_wta_monterrey_open,eu
dab90bdb4fb8ae701ed62b98caeaf5e5,2026-08-25T19:00:00Z,Maria Timofeeva,Shuai Zhang,2.12,1.71,0.4465,0.5535,Marathon Bet,tennis_wta_monterrey_open,eu
c72a13a3bb0d535e5b8ea226b2c254b3,2026-08-26T19:00:00Z,Anastasia Potapova,Nikola Bartunkova,2.44,1.54,0.3869,0.6131,Betsson,tennis_wta_monterrey_open,eu
