event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
7524184c36ede122c2c1cc353af1b2d3,2026-07-04T12:12:00Z,Flavio Cobolli,Karen Khachanov,4.33,1.18,0.2142,0.7858,Nordic Bet,tennis_atp_wimbledon,eu
f96720ebe957199507985213c07f5afb,2026-07-04T13:07:00Z,Arthur Fery,Zizou Bergs,2.95,1.35,0.3140,0.6860,PMU (FR),tennis_atp_wimbledon,eu
dd93a7888832b140093619ea10177409,2026-07-04T13:28:00Z,Jaume Munar,Jiri Lehecka,4.3,1.29,0.2308,0.7692,Betfair,tennis_atp_wimbledon,eu
12df758952eccf871f7ebc3ebc5e4f7d,2026-07-04T13:50:00Z,Alexander Zverev,Marcos Giron,1.05,9,0.8955,0.1045,PMU (FR),tennis_atp_wimbledon,eu
40f075c68595d809bd4835c234817431,2026-07-04T13:57:00Z,Lorenzo Sonego,Taylor Fritz,6.22,1.11,0.1514,0.8486,Betsson,tennis_atp_wimbledon,eu
0dcdb7b775c9c9802fb54feb8b1f1593,2026-07-04T15:45:00Z,Alexander Bublik,Frances Tiafoe,1.98,1.87,0.4857,0.5143,Unibet (FR),tennis_atp_wimbledon,eu
cfc02240ad5be9509d5cb936e79e02ed,2026-07-04T16:09:00Z,Grigor Dimitrov,Matteo Berrettini,2.21,1.67,0.4304,0.5696,MyBookie.ag,tennis_atp_wimbledon,eu
6dc8c06e342c397dfa3fa2076f31bfc9,2026-07-05T09:00:00Z,Hubert Hurkacz,Jan-Lennard Struff,1.37,3.65,0.7271,0.2729,Betfair,tennis_atp_wimbledon,eu
f59c600f7d2c247754d2707ccc62f228,2026-07-05T10:00:00Z,Alejandro Davidovich Fokina,Felix Auger-Aliassime,2.7,1.47,0.3525,0.6475,Unibet (NL),tennis_atp_wimbledon,eu
33d743c6c7f340fc12116afe18357802,2026-07-05T10:00:00Z,Jannik Sinner,Shintaro Mochizuki,1.01,31,0.9684,0.0316,1xBet,tennis_atp_wimbledon,eu
44a55068b95674016667af4bf1a49145,2026-07-05T10:00:00Z,Novak Djokovic,Roman Safiullin,1.2,5,0.8065,0.1935,Coolbet,tennis_atp_wimbledon,eu
3523e4c754ebf06f358ebf59979692cf,2026-07-04T10:05:00Z,Liudmila Samsonova,Marie Bouzkova,1.98,1.64,0.4530,0.5470,Winamax (FR),tennis_wta_wimbledon,eu
d7d65cec6590ae691bf6dafc68b0bd01,2026-07-04T12:00:00Z,Jasmine Paolini,Maria Sakkari,1.19,4,0.7707,0.2293,Betclic (FR),tennis_wta_wimbledon,eu
a6be73f9c614cdd329c05f63f69ab528,2026-07-04T12:05:00Z,Elena Rybakina,Elise Mertens,4.8,1.24,0.2053,0.7947,Betfair,tennis_wta_wimbledon,eu
e4dfd4a4fd2af98966de592fca9ad450,2026-07-04T12:35:00Z,Alexandra Eala,Iga Swiatek,3,1.48,0.3304,0.6696,Matchbook,tennis_wta_wimbledon,eu
cf9f064a20efb89ab079e08c6ce24215,2026-07-04T14:09:00Z,Amanda Anisimova,Madison Keys,2.47,1.62,0.3961,0.6039,1xBet,tennis_wta_wimbledon,eu
1aac34916e90f6ba479b3debf3a8f4b9,2026-07-04T14:54:00Z,Linda Noskova,Sorana Cirstea,1.52,2.6,0.6311,0.3689,Winamax (DE),tennis_wta_wimbledon,eu
5fca44be8e4f4be20860b8cd4695fd42,2026-07-05T09:00:00Z,Aryna Sabalenka,Naomi Osaka,1.43,2.89,0.6690,0.3310,GTbets,tennis_wta_wimbledon,eu
ed471afe80f971286a99c72114abf327,2026-07-05T09:00:00Z,Barbora Krejcikova,Karolina Muchova,2.48,1.54,0.3831,0.6169,GTbets,tennis_wta_wimbledon,eu
0dde211a4505e155ef36e15f1bf05a55,2026-07-05T09:00:00Z,Belinda Bencic,Coco Gauff,2.1,1.73,0.4517,0.5483,Unibet (FR),tennis_wta_wimbledon,eu
b3d71ef368ca8a3172673e081f7fdee3,2026-07-05T09:00:00Z,Iva Jović,Jessica Pegula,2.9,1.51,0.3424,0.6576,Betfair,tennis_wta_wimbledon,eu
